FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
1,West Pokot,Loima Sub County,IL 5,Inner Lowland,(vs),Livestock - Millet Zone,6.16129796347,62113.1572265625,1872.32859359935
2,West Pokot,Loima Sub County,IL 5,Inner Lowland,(vs),Livestock - Millet Zone,0.821146262885,8278.19946289063,590.947614262097
3,West Pokot,Pokot North Sub County,IL 5,Inner Lowland,(vs),Livestock - Millet Zone,365.113050056,555781.117980957,4985.08011199182
4,West Pokot,Pokot North Sub County,IL 5,Inner Lowland,(vs),Livestock - Millet Zone,365.113050056,3125235.02258301,8141.99662228265
5,West Pokot,Loima Sub County,IL 5,Inner Lowland,(vs),Livestock - Millet Zone,957.860722731,9657305.72900391,23721.3519761111
6,West Pokot,Pokot North Sub County,IL 6,Inner Lowland,br,Ranching Zone,5632.29436809,56782622.2713013,41949.604918291
7,West Pokot,Loima Sub County,IL 6,Inner Lowland,br,Ranching Zone,528.362325927,3751552.3326416,16526.5317188956
8,West Pokot,Loima Sub County,IL 6,Inner Lowland,br,Ranching Zone,528.362325927,1575523.3805542,17789.2561895918
9,West Pokot,Pokot North Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,30635.7604462,308665433.080078,176619.896644469
10,West Pokot,West Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,779.51617582,7849001.99969482,13300.905734452
11,West Pokot,Pokot Central Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,99705.9396016,1003279233.62799,281925.907719392
12,West Pokot,Pokot Central Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,99705.9396016,919.489074707031,159.804557890842
13,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,3217037.5222168,19721.0571024678
14,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,25239638.8729248,41692.6706649631
15,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,3060137.70776367,32848.695506592
16,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,375956.50592041,4824.99080633102
17,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,3700.40362548828,407.687205501935
18,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,35759.1099853516,840.580976676815
19,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,26185.2307128906,652.498896192963
20,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,118069.006103516,1640.951297897
21,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,44779.2163085938,920.416981936126
22,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,162707.528625488,1697.31896449916
23,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,81334.7869262695,1229.11553167041
24,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,219848.190979004,2957.72298242917
25,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,144507.359130859,2061.05211435043
26,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,4645421.90197754,38993.0836832397
27,West Pokot,Turkana South Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,3836.30071876,1256151.19042969,15630.1199417073
28,West Pokot,Turkana East Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,265.338880287,2636947.50714111,24039.2657709272
29,West Pokot,Turkana East Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,265.338880287,32596.3843383789,971.082592791944
30,West Pokot,Loima Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,798.962578014,8055480.36254883,16685.6749677888
31,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,28877.9095458984,668.989021331358
32,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,43360.3829345703,852.286983607269
